선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
박병호,KT,44,121,101,20,3,10,10,16,38,1,0.283,0.198,0.331,0.307,0.638,0.306,-0.97
안주형,삼성,82,166,142,31,0,24,8,11,39,4,0.301,0.218,0.279,0.232,0.511,0.246,-1.05
변상권,Hero,77,232,219,55,5,16,21,11,51,0,0.305,0.251,0.289,0.342,0.631,0.281,-1.06
김대한,두산,61,89,75,10,1,10,7,8,26,1,0.180,0.133,0.23,0.187,0.417,0.207,-1.12
김현준,삼성,79,205,183,41,0,23,11,11,49,2,0.299,0.224,0.279,0.29,0.569,0.262,-1.14
고명준,SSG,106,366,340,85,11,33,45,25,90,3,0.310,0.25,0.303,0.385,0.688,0.304,-1.15
전의산,SSG,34,63,57,5,1,3,3,5,15,0,0.095,0.088,0.159,0.140,0.299,0.147,-1.26
김태진,Hero,81,202,189,42,0,26,10,7,27,0,0.258,0.222,0.249,0.286,0.535,0.237,-1.35
이선우,롯데,7,0,0,0,0,1,0,0,0,0,,,,,,,
추재현,롯데,2,0,0,0,0,1,0,0,0,1,,,,,,,
김대현,LG,1,0,0,0,0,0,0,0,0,1,,,,,,,
이승호,Hero,1,0,0,0,0,0,0,0,0,0,,,,,,,
채현우,SSG,1,0,0,0,0,0,0,0,0,0,,,,,,,
김강현,롯데,1,0,0,0,0,0,0,0,0,0,,,,,,,
신준우,Hero,1,0,0,0,0,0,0,0,0,0,,,,,,,
심휘윤,Hero,1,0,0,0,0,0,0,0,0,0,,,,,,,
