선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,FIP,kFIP,FIP-WAR,RA9-WAR
박진형,롯데,0,0,0,0,0,7,0,6.1,5.68,1.42,0.00,0.353,62.5,4.26,3.47,3.68,0.11,0.04
송명기,NC,2,1,0,4,0,33,0,38.1,7.28,3.99,0.94,0.308,60.7,5.87,5.01,5.08,0.11,0.51
이지강,LG,2,3,1,1,1,46,2,53.2,6.54,4.36,0.84,0.316,65.9,4.53,5.11,5.26,0.11,0.72
최승용,두산,2,0,0,1,0,12,6,27.0,7.00,2.33,2.00,0.348,70.2,6.00,5.90,5.82,0.11,0.23
장민재,한화,1,1,0,0,0,26,0,29.0,5.28,2.17,0.62,0.404,85.9,3.10,4.34,4.51,0.1,0.56
권휘,두산,0,0,0,0,0,8,0,9.0,11.00,7.00,0.00,0.500,50.0,11.00,3.68,3.40,0.09,-0.3
오석주,Hero,1,1,0,0,0,17,0,17.0,8.47,5.82,0.00,0.459,50.0,11.12,4.20,4.33,0.09,-0.39
원종현,Hero,0,0,0,0,0,4,0,3.2,9.82,7.36,0.00,0.364,71.4,4.91,4.06,3.96,0.09,0.1
진승현,롯데,0,1,0,0,0,7,0,6.1,7.11,7.11,0.00,0.318,50.0,8.53,4.58,4.79,0.07,0.11
서진용,SSG,0,1,0,6,0,51,0,47.0,7.28,4.98,0.96,0.343,62.0,5.55,5.08,5.12,0.07,0.34
박지호,두산,0,0,0,1,0,1,0,0.2,27.00,13.50,0.00,,100.0,0.00,2.29,0.45,0.07,0.09
김유성,두산,1,2,0,0,0,17,7,28.0,9.32,7.71,0.32,0.333,60.4,6.43,5.18,5.33,0.07,-0.14
장지수,한화,0,0,0,0,0,13,0,14.0,7.07,6.43,0.00,0.442,48.6,10.93,4.36,4.62,0.07,-0.35
성재헌,KT,0,0,0,1,0,30,1,32.0,5.62,4.50,0.28,0.395,57.9,7.31,4.72,5.10,0.07,0.04
송은범,삼성,0,0,0,2,0,9,0,8.1,2.16,1.08,0.00,0.276,88.9,1.08,3.67,4.11,0.06,0.34
박준표,KIA,0,0,0,0,0,8,0,6.0,6.00,4.50,0.00,0.476,71.4,6.00,4.45,4.83,0.06,-0.03
김윤식,LG,0,0,0,0,0,1,1,3.0,3.00,3.00,0.00,0.467,50.0,12.00,4.12,4.58,0.05,-0.13
박시후,SSG,0,0,0,0,0,11,0,14.2,6.75,4.30,0.61,0.347,62.5,6.75,5.01,5.25,0.05,-0.07
윤호솔,LG,0,0,0,0,0,7,0,4.1,10.38,16.62,0.00,0.364,83.3,4.15,7.02,7.45,0.05,0.2
이종준,LG,1,2,0,1,0,27,0,26.0,9.69,5.54,1.38,0.314,79.7,4.15,5.48,5.28,0.04,0.55
김동욱,Hero,2,1,0,3,1,37,0,36.0,4.50,1.50,1.00,0.254,59.3,5.00,4.81,5.04,0.04,0.43
박정우(투),KIA,0,0,0,0,0,1,0,1.0,18.00,0.00,0.00,0.000,,0.00,-0.21,-1.81,0.04,0.03
전용주,KT,0,0,0,0,0,4,0,1.2,21.60,16.20,0.00,0.667,50.0,10.80,6.19,5.89,0.04,0.07
류진욱,NC,2,1,0,10,1,50,0,42.1,7.87,4.04,0.85,0.369,63.8,5.74,4.75,4.74,0.04,0.36
이상동,KT,0,1,0,3,0,29,0,32.0,8.44,3.94,0.84,0.386,71.2,5.34,4.63,4.57,0.04,-0.04
이선우,KT,0,0,0,0,0,6,1,10.0,3.60,3.60,0.00,0.286,62.5,5.40,4.79,5.44,0.04,0.02
손주환,NC,0,1,0,0,0,4,1,3.2,9.82,4.91,0.00,0.222,20.0,9.82,4.06,4.11,0.03,-0.13
김기중,한화,5,4,0,0,0,27,11,59.0,5.95,4.12,1.22,0.366,68.7,6.56,5.91,6.19,0.03,0.46
전미르,롯데,1,5,1,5,5,36,0,33.2,9.09,5.61,1.07,0.315,54.7,5.88,5.09,4.97,0.03,0.15
박성빈,SSG,0,0,0,0,0,3,0,2.1,7.71,0.00,0.00,0.167,100.0,0.00,3.36,3.53,0.02,0.09
김민규,NC,0,0,0,0,0,7,0,6.1,2.84,4.26,0.00,0.360,66.7,5.68,4.58,5.14,0.02,0.01
소형준,KT,2,0,0,0,0,6,0,8.1,3.24,1.08,1.08,0.250,78.9,3.24,5.35,5.80,0.02,0.2
정동윤,SSG,0,0,0,0,0,3,0,1.2,10.80,5.40,0.00,0.250,100.0,0.00,3.19,2.83,0.02,0.07
김민주,KIA,0,0,0,0,0,2,0,1.0,18.00,9.00,0.00,0.600,50.0,9.00,2.79,1.77,0.02,-0.08
김승일,한화,0,0,0,0,0,3,0,3.0,6.00,0.00,0.00,0.400,80.0,3.00,3.45,3.73,0.02,0.05
정우영,LG,2,1,0,3,2,27,0,22.2,6.75,4.37,0.00,0.425,68.8,4.76,4.54,4.93,0.02,0.44
김진호,NC,0,0,0,0,0,2,0,2.1,11.57,7.71,0.00,0.500,60.0,7.71,3.79,3.49,0.01,0.0
최하늘,삼성,1,1,0,1,0,27,0,32.0,5.06,4.50,0.56,0.250,60.2,5.34,5.35,5.80,0.01,0.73
박범준,Hero,0,1,0,0,0,5,0,5.1,13.50,6.75,1.69,0.429,37.7,13.50,6.04,5.66,0.01,-0.18
박준우,롯데,0,0,0,0,0,2,0,2.0,4.50,4.50,0.00,0.375,50.0,9.00,4.29,4.66,0.01,-0.03
남지민,한화,0,0,0,0,0,2,0,4.0,6.75,4.50,0.00,0.182,100.0,0.00,4.54,4.92,0.01,0.19
주승우,Hero,4,6,14,5,4,55,0,51.2,7.49,3.14,0.70,0.305,71.2,4.35,4.17,4.14,0.0,1.15
김동규,Hero,0,0,0,0,0,2,0,0.1,0.00,54.00,0.00,0.500,33.3,54.00,21.79,25.93,0.0,0.01
김정우,두산,0,0,0,0,0,1,0,0.1,0.00,0.00,0.00,1.000,0.0,81.00,3.79,4.43,0.0,-0.13
장필준,삼성,0,0,0,0,0,1,0,0.1,0.00,0.00,0.00,0.833,0.0,135.00,3.79,4.43,0.0,-0.24
최준용,롯데,1,2,0,3,3,27,0,21.2,4.98,5.82,0.83,0.351,74.6,5.40,5.82,6.24,0.0,0.25
박주현,NC,0,0,0,0,0,3,0,3.0,12.00,3.00,3.00,0.286,76.9,6.00,6.45,5.80,0.0,0.01
정우람,한화,0,0,0,0,0,1,1,0.0,,,,1.000,100.0,,,,0.0,0.0
최종인,두산,1,0,1,2,0,11,0,9.2,7.45,4.66,1.86,0.222,88.2,3.72,6.37,6.39,-0.0,0.4
홍민기,롯데,0,0,0,0,0,3,1,3.2,4.91,2.45,0.00,0.421,36.4,12.27,5.15,5.97,-0.0,-0.21
장시환,한화,2,2,0,2,0,30,0,33.1,7.56,5.94,0.81,0.313,56.8,5.13,5.35,5.47,-0.0,-0.06
임준섭,롯데,0,0,0,2,0,24,0,11.1,2.38,8.74,0.00,0.308,57.7,7.94,6.96,8.18,-0.0,0.4
김사윤,KIA,0,1,1,0,0,23,2,37.0,8.76,6.08,0.49,0.365,61.0,4.62,4.98,5.08,-0.01,-0.12
임준형,LG,0,0,0,0,0,18,1,13.2,8.56,3.29,1.32,0.359,66.0,6.59,5.54,5.59,-0.01,0.26
이준호,NC,3,5,0,2,0,38,2,49.1,7.66,4.74,1.28,0.393,65.4,7.48,5.69,5.76,-0.01,-0.39
윤정현,Hero,0,0,0,0,0,2,0,3.0,3.00,6.00,0.00,0.333,50.0,9.00,5.12,5.78,-0.01,-0.02
소이현,NC,0,0,0,0,0,4,0,3.1,2.70,2.70,0.00,0.375,12.5,13.50,4.99,5.81,-0.01,-0.22
이믿음,LG,0,1,0,0,0,1,1,4.0,4.50,9.00,0.00,0.524,53.3,15.75,5.79,6.45,-0.01,-0.26
장재혁,KIA,0,0,0,0,0,1,0,1.1,0.00,6.75,0.00,0.333,100.0,0.00,6.04,7.12,-0.01,0.06
하준호,KT,0,0,0,0,0,2,0,2.0,0.00,4.50,0.00,0.500,66.7,9.00,5.29,6.22,-0.01,-0.05
채원후,NC,0,0,0,0,0,3,0,3.0,6.00,9.00,0.00,0.462,55.6,12.00,5.45,5.93,-0.01,-0.12
한승주,한화,0,2,0,0,0,18,0,22.0,5.73,4.09,0.82,0.483,48.9,11.45,5.47,5.82,-0.01,-0.67
진우영,LG,0,0,0,0,0,6,0,7.2,7.04,4.70,1.17,0.292,75.5,4.70,5.48,5.55,-0.01,0.06
박승주,Hero,0,1,0,0,0,15,0,17.1,6.75,4.67,1.04,0.298,56.0,6.75,5.52,5.69,-0.02,0.03
이교훈,두산,1,1,0,1,0,33,0,35.1,6.88,4.33,1.78,0.324,57.5,7.39,6.45,6.58,-0.02,0.05
김현수,KIA,0,0,0,0,0,5,0,5.0,7.20,9.00,0.00,0.389,23.1,18.00,5.79,6.35,-0.02,-0.26
박세진,KT,0,0,0,0,0,6,0,5.1,3.38,6.75,0.00,0.368,63.6,3.38,5.29,5.95,-0.02,0.03
