선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,FIP,kFIP,FIP-WAR,RA9-WAR
한차현,KT,0,4,0,0,0,10,5,19.0,8.05,8.53,1.89,0.391,60.4,9.95,7.58,7.77,-0.3,-0.58
육선엽,삼성,0,0,0,0,0,11,1,17.0,5.82,9.0,1.59,0.296,79.9,5.29,8.14,8.78,-0.3,0.1
이명종,Hero,0,1,0,0,0,10,0,11.0,3.27,4.09,3.27,0.364,77.3,8.18,8.88,9.33,-0.3,-0.13
전준표,Hero,2,4,0,0,0,18,5,27.2,5.86,6.51,1.3,0.32,58.8,6.83,7.08,7.62,-0.31,-0.63
이건욱,SSG,1,2,0,0,0,10,2,19.0,8.05,7.11,2.37,0.433,59.1,11.37,8.1,8.33,-0.31,-0.67
백승현,LG,2,1,2,1,1,36,0,26.2,4.72,7.09,1.01,0.33,54.1,9.11,6.56,7.12,-0.33,-0.67
윤중현,KIA,0,0,0,0,0,11,0,10.1,3.48,7.84,3.48,0.429,59.9,13.94,11.24,12.24,-0.34,-0.19
현도훈,롯데,0,1,0,0,1,8,0,10.0,7.2,5.4,1.8,0.382,54.9,9.0,6.59,6.69,-0.35,-0.36
배재환,NC,0,1,0,0,0,20,0,19.2,5.95,6.86,2.29,0.268,64.3,7.32,7.91,8.23,-0.35,-0.15
이종민,Hero,1,8,0,0,0,12,9,43.2,4.33,4.53,1.86,0.305,62.5,7.63,7.22,7.73,-0.39,-0.16
김재윤,삼성,4,8,11,25,5,65,0,66.0,6.82,3.41,1.77,0.237,71.4,4.09,5.79,5.78,-0.39,1.29
박명근,LG,2,2,1,8,0,33,0,25.1,4.62,4.26,2.13,0.274,67.4,6.39,7.62,8.1,-0.43,0.64
김선기,Hero,6,4,0,0,0,42,6,76.1,5.07,3.54,1.53,0.298,69.9,5.54,6.25,6.58,-0.44,1.08
김연주,Hero,1,1,0,1,2,34,0,31.1,5.17,4.88,1.44,0.282,65.3,6.61,6.72,7.21,-0.45,-0.1
김인범,Hero,2,7,0,0,0,19,14,63.1,3.84,4.41,1.28,0.3,73.0,5.4,6.63,7.23,-0.5,1.05
이인복,롯데,0,3,0,0,0,8,6,33.0,5.45,3.55,2.73,0.348,58.8,9.55,7.97,8.27,-0.53,-0.45
김동혁,Hero,0,2,0,0,0,17,0,22.1,3.63,4.03,2.82,0.274,61.6,6.85,8.67,9.23,-0.61,-0.45
이승민,삼성,1,4,0,0,0,25,8,47.1,4.37,4.94,2.66,0.333,64.7,8.56,8.5,8.99,-1.07,-0.93
